latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,temperature_2m (°C),relative_humidity_2m (%),wind_speed_10m (km/h),pressure_msl (hPa),rain (mm),cloud_cover (%)
2026-06-12T00:00,11.6,79,5.4,1019.4,0.00,89
2026-06-12T01:00,11.3,82,6.4,1018.8,0.00,95
2026-06-12T02:00,10.9,85,7.6,1018.8,0.00,100
2026-06-12T03:00,10.8,86,7.7,1018.7,0.00,95
2026-06-12T04:00,11.2,84,7.5,1018.6,0.00,98
2026-06-12T05:00,12.1,80,6.3,1018.6,0.00,98
2026-06-12T06:00,13.3,73,6.0,1018.3,0.00,100
2026-06-12T07:00,14.6,68,7.4,1018.2,0.00,97
2026-06-12T08:00,15.1,67,8.3,1018.2,0.00,91
2026-06-12T09:00,15.9,62,14.3,1017.3,0.10,93
2026-06-12T10:00,17.1,58,15.7,1017.1,0.10,86
2026-06-12T11:00,17.7,58,15.3,1016.7,0.00,100
2026-06-12T12:00,17.5,60,14.4,1016.7,0.00,100
2026-06-12T13:00,16.8,64,15.2,1016.5,0.10,100
2026-06-12T14:00,17.4,64,11.6,1016.3,0.00,100
2026-06-12T15:00,18.0,63,11.1,1015.8,0.00,99
2026-06-12T16:00,18.9,62,13.2,1015.4,0.00,89
2026-06-12T17:00,18.5,65,12.0,1015.2,0.00,98
2026-06-12T18:00,16.2,88,6.8,1015.4,3.80,95
2026-06-12T19:00,15.9,89,10.6,1015.2,0.20,63
2026-06-12T20:00,15.4,94,15.7,1015.7,0.10,91
2026-06-12T21:00,15.1,92,14.7,1015.9,0.00,34
2026-06-12T22:00,14.5,93,11.2,1015.7,0.00,70
2026-06-12T23:00,14.2,94,10.4,1015.6,0.00,23
2026-06-13T00:00,14.1,93,7.4,1015.4,0.00,7
2026-06-13T01:00,13.6,95,7.1,1014.9,0.00,90
2026-06-13T02:00,13.9,92,8.5,1014.7,0.00,100
2026-06-13T03:00,14.1,90,10.0,1014.6,0.00,100
2026-06-13T04:00,14.2,90,11.8,1014.6,0.10,61
2026-06-13T05:00,14.9,88,12.4,1014.4,0.10,72
2026-06-13T06:00,15.6,88,11.5,1014.6,0.00,63
2026-06-13T07:00,17.5,77,14.5,1014.1,0.00,91
2026-06-13T08:00,18.5,72,16.3,1013.9,0.00,67
2026-06-13T09:00,19.2,64,18.2,1013.4,0.10,30
2026-06-13T10:00,19.6,55,20.7,1013.1,0.10,44
2026-06-13T11:00,20.2,54,20.2,1012.5,0.10,55
2026-06-13T12:00,17.8,63,16.6,1013.2,0.00,89
2026-06-13T13:00,19.1,51,19.3,1012.0,0.00,99
2026-06-13T14:00,19.5,49,21.4,1011.5,0.00,91
2026-06-13T15:00,17.0,60,22.5,1011.8,0.30,98
2026-06-13T16:00,15.7,70,18.7,1012.3,0.40,22
2026-06-13T17:00,15.4,67,22.4,1012.3,0.40,33
2026-06-13T18:00,15.1,71,17.8,1012.8,0.00,14
2026-06-13T19:00,14.4,67,18.8,1012.9,0.00,14
2026-06-13T20:00,13.6,70,16.6,1013.1,0.00,30
2026-06-13T21:00,13.2,71,17.6,1013.1,0.00,20
2026-06-13T22:00,12.7,73,16.9,1012.8,0.00,19
2026-06-13T23:00,12.3,75,16.7,1012.4,0.00,14
2026-06-14T00:00,12.7,75,16.1,1011.9,0.00,73
2026-06-14T01:00,12.1,78,16.1,1011.3,0.00,88
2026-06-14T02:00,11.9,79,17.3,1010.8,0.00,91
2026-06-14T03:00,11.9,78,18.1,1010.3,0.00,60
2026-06-14T04:00,11.6,77,17.6,1010.0,0.20,59
2026-06-14T05:00,11.7,82,16.8,1009.9,1.50,38
2026-06-14T06:00,12.2,75,20.8,1009.8,0.20,72
2026-06-14T07:00,12.0,81,22.1,1009.2,0.30,78
2026-06-14T08:00,13.4,79,21.7,1009.2,1.00,100
2026-06-14T09:00,14.9,68,23.9,1008.7,0.20,100
2026-06-14T10:00,13.0,77,23.4,1009.0,0.80,76
2026-06-14T11:00,16.0,66,25.0,1008.2,0.10,100
2026-06-14T12:00,15.2,63,24.6,1008.6,0.40,99
2026-06-14T13:00,15.7,62,21.2,1008.0,0.70,63
2026-06-14T14:00,17.0,59,22.7,1008.1,0.30,34
2026-06-14T15:00,16.1,62,21.2,1008.4,0.40,16
2026-06-14T16:00,16.8,55,25.6,1008.3,0.00,68
2026-06-14T17:00,14.8,71,17.2,1008.7,0.10,67
2026-06-14T18:00,15.1,70,18.3,1009.2,0.30,29
2026-06-14T19:00,14.4,69,17.9,1009.4,0.00,14
2026-06-14T20:00,13.7,69,18.1,1009.9,0.00,9
2026-06-14T21:00,13.0,73,17.3,1010.1,0.00,7
2026-06-14T22:00,12.5,76,17.1,1010.0,0.00,30
2026-06-14T23:00,12.1,78,17.4,1009.9,0.00,73
2026-06-15T00:00,11.9,85,15.5,1009.9,0.00,39
2026-06-15T01:00,11.7,86,15.5,1009.7,0.00,43
2026-06-15T02:00,11.4,88,15.1,1009.4,0.00,100
2026-06-15T03:00,11.4,87,15.6,1009.3,0.00,100
2026-06-15T04:00,11.7,86,15.2,1009.4,0.00,100
2026-06-15T05:00,12.0,85,15.2,1009.5,0.00,100
2026-06-15T06:00,12.2,85,17.6,1009.5,0.00,95
2026-06-15T07:00,13.8,76,22.7,1009.3,0.10,93
2026-06-15T08:00,14.6,71,24.1,1009.4,0.10,96
2026-06-15T09:00,15.2,68,24.3,1009.6,0.10,100
2026-06-15T10:00,16.0,64,24.7,1009.8,0.10,100
2026-06-15T11:00,15.9,65,23.6,1009.9,0.00,100
2026-06-15T12:00,17.4,58,23.3,1009.8,0.10,100
2026-06-15T13:00,18.2,53,24.4,1009.7,0.10,95
2026-06-15T14:00,18.2,51,24.7,1010.2,0.00,64
2026-06-15T15:00,18.1,50,24.1,1010.5,0.00,46
2026-06-15T16:00,17.6,49,22.5,1010.9,0.00,73
2026-06-15T17:00,16.6,56,20.4,1011.3,0.00,36
2026-06-15T18:00,15.8,58,19.3,1011.7,0.00,3
2026-06-15T19:00,14.4,62,16.2,1012.4,0.00,2
2026-06-15T20:00,13.5,66,13.1,1013.1,0.00,13
2026-06-15T21:00,12.7,70,13.0,1013.8,0.00,8
2026-06-15T22:00,11.9,73,13.5,1014.2,0.00,1
2026-06-15T23:00,11.1,76,13.2,1014.3,0.00,0
2026-06-16T00:00,10.6,77,11.4,1014.2,0.00,2
2026-06-16T01:00,10.0,80,10.7,1014.4,0.00,10
2026-06-16T02:00,9.6,83,9.7,1014.6,0.00,100
2026-06-16T03:00,9.8,83,9.1,1014.7,0.00,97
2026-06-16T04:00,10.6,81,9.0,1014.9,0.00,38
2026-06-16T05:00,11.6,77,8.5,1014.9,0.00,51
2026-06-16T06:00,12.6,71,9.6,1015.4,0.00,17
2026-06-16T07:00,14.0,63,13.0,1015.5,0.00,100
2026-06-16T08:00,14.9,61,15.4,1015.5,0.00,99
2026-06-16T09:00,15.9,58,14.7,1015.2,0.00,98
2026-06-16T10:00,17.6,49,14.1,1014.8,0.00,94
2026-06-16T11:00,18.6,50,11.1,1014.4,0.00,84
2026-06-16T12:00,19.2,51,7.6,1014.4,0.00,47
2026-06-16T13:00,20.0,50,8.3,1014.1,0.00,23
2026-06-16T14:00,20.5,49,9.8,1014.0,0.00,63
2026-06-16T15:00,20.4,49,9.3,1013.9,0.00,71
2026-06-16T16:00,20.4,49,8.6,1013.6,0.00,66
